,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
mmu04115,mmu04115,p53 signaling pathway - Mus musculus (house mouse),21/1023,72/9167,2.36666620051013e-05,0.000446882264919853,0.000402992696681291,21825/18787/20135/29870/245000/12443/12043/12567/75747/268697/12442/22059/16009/12122/12649/50883/12534/12028/30954/57913/107986,21
mmu05203,mmu05203,Viral carcinogenesis - Mus musculus (house mouse),43/1023,229/9167,0.000392000633981672,0.00699067797267314,0.00630410376286314,12428/12443/12567/319189/319160/22059/231991/319187/15182/232232/19385/22033/319185/319178/107995/56233/319186/12649/319181/319183/319184/97122/319179/20850/320332/237336/16195/319182/12534/27401/12028/17120/319159/14534/326620/319157/319188/15185/16391/326619/319180/665596/319190,43
mmu03020,mmu03020,RNA polymerase - Mus musculus (house mouse),11/1023,32/9167,0.000444245645636289,0.00750541327627625,0.00676828545983265,70333/20019/26939/20016/20017/78929/17749/28071/66420/64424/20022,11
mmu00670,mmu00670,One carbon pool by folate - Mus musculus (house mouse),8/1023,19/9167,0.000571624128900798,0.00908698649614024,0.00819452791093152,22171/20425/108147/108037/216188/14450/270685/108156,8
mmu01240,mmu01240,Biosynthesis of cofactors - Mus musculus (house mouse),31/1023,152/9167,0.000594475752083941,0.00908698649614024,0.00819452791093152,20148/51797/12892/20425/29858/107508/216134/18103/107272/22247/108037/226518/56749/11565/18102/11564/12036/14629/19044/270685/57028/67417/67164/108156/230027/394435/54369/12850/14287/56520/69719,31
mmu03420,mmu03420,Nucleotide excision repair - Mus musculus (house mouse),12/1023,43/9167,0.00199841097121669,0.029158632807298,0.0262948812002196,18973/19718/106344/16881/18971/72151/18972/18974/13871/17420/107986/19891,12
mmu00270,mmu00270,Cysteine and methionine metabolism - Mus musculus (house mouse),14/1023,55/9167,0.00228582530433258,0.031146839592658,0.028087820586919,236539/67873/107272/11702/13433/66902/12583/210808/20603/12036/104923/14629/13436/56369,14
mmu05168,mmu05168,Herpes simplex virus 1 infection - Mus musculus (house mouse),71/1023,459/9167,0.00242276928540508,0.031146839592658,0.028087820586919,20383/225027/67996/12043/20382/209354/22059/235048/67607/22033/77519/22710/15976/12122/235050/380850/22688/54201/142980/272347/21681/243833/12028/234358/56707/112415/22640/100043772/22693/235907/108067/27081/72154/240066/210104/665211/57782/22700/22756/69550/22719/668923/22648/100043381/110809/626391/237775/100041677/78921/381067/414758/245174/434377/408062/73610/16391/235047/22751/73430/22755/214763/12702/434178/238692/14999/56869/72723/619331/675812/72180/22643,71
mmu00983,mmu00983,Drug metabolism - other enzymes - Mus musculus (house mouse),20/1023,92/9167,0.00242576632341573,0.031146839592658,0.028087820586919,14873/56615/14859/20135/229363/21877/20133/14862/80914/18103/22247/110074/14860/14865/23917/18102/23918/394435/54369/56520,20
mmu04814,mmu04814,Motor proteins - Mus musculus (house mouse),35/1023,196/9167,0.00317702894000647,0.0392240880670029,0.0353717796964283,17912/19348/22154/16552/381293/229841/240641/16551/70218/22143/71819/16580/100502766/67117/286942/73804/110033/21953/228421/209737/16571/17918/270163/16570/22004/71924/17925/232943/213575/73710/67951/22151/668940/22153/269152,35
mmu00480,mmu00480,Glutathione metabolism - Mus musculus (house mouse),16/1023,72/9167,0.00505339464601657,0.060079247458197,0.0541786950352654,14873/56615/14859/269951/20135/14775/15926/20133/14862/14860/14865/110175/20603/18263/14629/14768,16
mmu04330,mmu04330,Notch signaling pathway - Mus musculus (house mouse),14/1023,60/9167,0.00536921901159616,0.0615542608115131,0.0555088431649979,18131/16449/16848/207521/18129/21887/18223/15182/270118/80904/14534/21886/21885/16450,14
mmu04914,mmu04914,Progesterone-mediated oocyte maturation - Mus musculus (house mouse),19/1023,92/9167,0.00557802290883943,0.0617429432323261,0.0556789945528436,12428/12235/268697/20878/12442/59008/52206/15516/18817/16001/12532/110033/66440/12531/12534/17120/268930/56150/68999,19
mmu05202,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),37/1023,224/9167,0.00913730869349649,0.0977692030204124,0.0881670137091766,15902/12428/109115/319154/107823/319148/319150/319153/319149/97114/12475/22059/16001/18514/319151/21423/80859/15182/260423/15364/16009/18791/233908/360198/319152/97908/12978/14030/12028/12580/107986/16825/12393/17869/18109/19401/20474,37
mmu00230,mmu00230,Purine metabolism - Mus musculus (house mouse),24/1023,134/9167,0.0126545312455439,0.13103562999418,0.11816625101951,67054/231327/18605/20135/229363/215446/20133/328099/108147/18103/69692/76974/23917/11565/18102/210808/11564/23918/76952/14450/110639/54369/110385/56520,24
mmu04310,mmu04310,Wnt signaling pathway - Mus musculus (house mouse),29/1023,171/9167,0.0138480515248885,0.138913266859038,0.125270202938959,22422/12443/407821/229658/14368/21887/14366/12325/12323/22059/18752/12301/56505/207742/17393/77583/22409/18019/21886/17869/14365/21885/53627/93840/16348/57265/14160/14362/20671,29
mmu05225,mmu05225,Hepatocellular carcinoma - Mus musculus (house mouse),29/1023,174/9167,0.0173400910491208,0.168671794750538,0.152106061834393,14873/56615/14859/22422/20588/12443/21812/12567/14368/14366/14862/22059/16001/56456/18752/21808/13555/234779/14860/14865/22409/12028/107986/17869/14365/66993/57265/15368/14362,29
mmu05166,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),39/1023,250/9167,0.0186706787494999,0.17627317289969,0.158960887186145,16177/11739/12428/245000/12443/15894/19384/21812/12567/12442/59008/52206/22059/231991/21423/21808/19385/13555/107995/12236/17393/12649/105988/66440/50883/20850/237336/12028/17120/18019/56150/14534/12580/18186/17869/53859/23871/14999/68999,39
